rho,seed,gain,round,receiver_id,delta_x,delta_y,true_position_after_x,true_position_after_y,action_number
0.2,11,0.5,13,1,-3.154263110971556e-05,-3.0147844435779447e-05,2.00003154263111,3.4641317629821904,13
0.2,11,0.5,14,1,-1.5771315555301868e-05,-1.5073922217778701e-05,2.000015771315555,3.4641166890599724,14
0.2,11,0.5,15,1,-7.885657777206845e-06,-7.536961109444462e-06,2.0000078856577774,3.464109152098863,15
0.2,11,0.5,16,1,-3.942828888714445e-06,-3.7684805545001865e-06,2.0000039428288887,3.4641053836183087,16
0.2,11,0.5,17,1,-1.9714144441351777e-06,-1.8842402769170263e-06,2.0000019714144446,3.464103499378032,17
0.2,11,0.5,18,1,-9.857072222896335e-07,-9.421201390136247e-07,2.0000009857072225,3.4641025572578927,18
0.2,11,0.5,19,1,-4.928536110337944e-07,-4.7106006917374543e-07,2.0000004928536113,3.4641020861978236,19
0.2,11,0.5,20,1,-2.464268056279195e-07,-2.3553003458687272e-07,2.0000002464268056,3.464101850667789,20
0.2,11,0.5,21,1,-1.2321340281395976e-07,-1.1776501707139175e-07,2.000000123213403,3.4641017329027717,21
0.2,11,0.5,22,1,-6.160670129595758e-08,-5.8882508424673574e-08,2.000000061606702,3.464101674020263,22
0.2,11,0.5,23,1,-3.080335075900109e-08,-2.944125432335909e-08,2.000000030803351,3.4641016445790087,23
0.2,11,0.5,24,1,-1.5401675268478243e-08,-1.472062693963494e-08,2.0000000154016755,3.4641016298583818,24
0.2,23,0.5,1,1,-0.11979985332253063,0.05013515048165362,2.1197998533225313,3.4139664646561014,1
0.2,23,0.5,2,1,-0.05989992666126587,0.025067575240826256,2.0598999266612656,3.439034039896928,2
0.2,23,0.5,3,1,-0.029949963330632823,0.012533787620413461,2.029949963330633,3.4515678275173416,3
0.2,23,0.5,4,1,-0.014974981665316633,0.0062668938102061755,2.014974981665316,3.457834721327548,4
0.2,23,0.5,5,1,-0.007487490832657873,0.003133446905103643,2.0074874908326583,3.4609681682326516,5
0.2,23,0.5,6,1,-0.0037437454163291584,0.0015667234525513773,2.003743745416329,3.462534891685203,6
0.2,23,0.5,7,1,-0.0018718727081643571,0.0007833617262762438,2.001871872708165,3.463318253411479,7
