rho,seed,gain,round,alpha_rad,beta_rad,target_alpha_rad,target_beta_rad,max_angle_error_rad,relay_scalar_count,measurement_slot_count,measurement_tx_count,estimate_x,estimate_y,action_x,action_y,action_applied,event,failure
0.01,23,0.5,2,1.045591833145854,1.0482556902615454,1.0471975511965976,1.0471975511965976,0.0016057180507436097,2,2,4,2.0061499638580624,3.461904146015967,-0.0030749819290312175,0.0010987345608937105,True,observe_and_move,
0.01,23,0.5,3,1.046394574060315,1.047726291455591,1.0471975511965976,1.0471975511965976,0.0008029771362825233,2,2,4,2.003074981929031,3.4630028805768607,-0.0015374909645156087,0.0005493672804468552,True,observe_and_move,
0.01,23,0.5,4,1.0467960331589152,1.0474618390660537,1.0471975511965976,1.0471975511965976,0.00040151803768240235,2,2,4,2.001537490964516,3.4635522478573075,-0.0007687454822580264,0.0002746836402234276,True,observe_and_move,
0.01,23,0.5,5,1.0469967848176507,1.0473296745736038,1.0471975511965976,1.0471975511965976,0.00020076637894694827,2,2,4,2.0007687454822576,3.4638269314975316,-0.00038437274112879116,0.00013734182011138074,True,observe_and_move,
0.01,23,0.5,6,1.047097166168008,1.0472636077465811,1.0471975511965976,1.0471975511965976,0.0001003850285896668,2,2,4,2.0003843727411286,3.463964273317643,-0.00019218637056428456,6.867091005569037e-05,True,observe_and_move,
0.01,23,0.5,7,1.0471473582226376,1.0472305781870732,1.0471975511965976,1.0471975511965976,5.01929739600282e-05,2,2,4,2.000192186370564,3.4640329442276974,-9.609318528203126e-05,3.433545502851132e-05,True,observe_and_move,
0.01,23,0.5,8,1.0471724545947154,1.0472140643707208,1.0471975511965976,1.0471975511965976,2.5096601882212966e-05,2,2,4,2.0000960931852827,3.4640672796827254,-4.8046592641348695e-05,1.7167727514477704e-05,True,observe_and_move,
0.01,23,0.5,9,1.047185002866933,1.0472058077033826,1.0471975511965976,1.0471975511965976,1.2548329664685554e-05,2,2,4,2.0000480465926413,3.4640844474102415,-2.4023296320674348e-05,8.583863756461696e-06,True,observe_and_move,
0.01,23,0.5,10,1.0471912770245846,1.047201679429921,1.0471975511965976,1.0471975511965976,6.2741720130432554e-06,2,2,4,2.0000240232963207,3.4640930312739977,-1.2011648160337174e-05,4.29193187834187e-06,True,observe_and_move,
0.01,23,0.5,11,1.0471944141087959,1.0471996153082421,1.0471975511965976,1.0471975511965976,3.1370878017522585e-06,2,2,4,2.0000120116481606,3.464097323205875,-6.005824080279609e-06,2.1459659396150244e-06,True,observe_and_move,
0.01,23,0.5,12,1.0471959826522481,1.0471985832511657,1.0471975511965976,1.0471975511965976,1.5685443495172535e-06,2,2,4,2.0000060058240803,3.464099469171815,-3.0029120401398046e-06,1.0729829695854676e-06,True,observe_and_move,
0.01,23,0.5,13,1.0471967669243107,1.0471980672235681,1.0471975511965976,1.0471975511965976,7.842722868911522e-07,2,2,4,2.00000300291204,3.4641005421547852,-1.50145601995888e-06,5.364914845706892e-07,True,observe_and_move,
